,commands,torques,positions,velocities
151,[0.5],[-0.021920950906815184],[45.5895340010618],[82.39089507803018]
152,[0.5],[-0.021920950906815184],[45.93279289121951],[82.38213363785157]
153,[0.5],[-0.021920950906815184],[46.276477461559445],[82.48429688158332]
154,[0.5],[-0.021920950906815184],[46.62100098458524],[82.68564552619044]
155,[0.5],[-0.021920950906815184],[46.96668100150753],[82.96320406135047]
156,[0.5],[-0.021920950906815184],[47.3137019466105],[83.28502682471238]
157,[0.5],[-0.021920950906815184],[47.66209141661554],[83.61347280120958]
158,[0.5],[-0.021920950906815184],[48.01171366490777],[83.90933959013398]
159,[0.5],[-0.021920950906815184],[48.36228255142353],[84.13653276378382]
160,[0.5],[-0.021920950906815184],[48.71339392358635],[84.26672931907692]
161,[0.5],[-0.021920950906815184],[49.06457443228685],[84.28332208811901]
162,[0.5],[-0.021920950906815184],[49.41534072106675],[84.18390930717705]
163,[0.5],[-0.021920950906815184],[49.76526065802747],[83.98078487057316]
164,[0.5],[-0.021920950906815184],[50.114007607941126],[83.69926797927624]
165,[0.5],[-0.021920950906815184],[50.46139998141326],[83.37416963331125]
166,[0.5],[-0.021920950906815184],[50.80742109465769],[83.04506717866359]
167,[0.5],[-0.021920950906815184],[51.15221785954712],[82.75122357346326]
168,[0.5],[-0.021920950906815184],[51.49608002278509],[82.52691917711078]
169,[0.5],[-0.021920950906815184],[51.83940391045242],[82.39773304015927]
170,[0.5],[-0.021920950906815184],[52.182645732085305],[82.37803719189213]
171,[0.5],[-0.021920950906815184],[52.52626970521546],[82.46975355123809]
172,[0.5],[-0.021920950906815184],[52.87069601671906],[82.66231476086362]
173,[0.5],[-0.021920950906815184],[53.21625332315],[82.93375354342531]
174,[0.5],[-0.021920950906815184],[53.563140268673926],[83.25286692574271]
175,[0.5],[-0.021920950906815184],[53.91140025849565],[83.58239755721355]
176,[0.5],[-0.021920950906815184],[54.2609131548388],[83.88309512235774]
177,[0.5],[-0.021920950906815184],[54.61140629639744],[84.11835397407262]
178,[0.5],[-0.021920950906815184],[54.96248507341207],[84.25890648351016]
179,[0.5],[-0.021920950906815184],[55.31368036785802],[84.28687066702828]
180,[0.5],[-0.021920950906815184],[55.66450707453199],[84.19840960175249]
181,[0.5],[-0.021920950906815184],[56.01452553301436],[84.00443003576893]
182,[0.5],[-0.021920950906815184],[56.363396849486996],[83.72911595343422]
183,[0.5],[-0.021920950906815184],[56.710924146084075],[83.40655118329954]
184,[0.5],[-0.021920950906815184],[57.057074453410415],[83.07607375832167]
185,[0.5],[-0.021920950906815184],[57.40197942562812],[82.77719333224944]
186,[0.5],[-0.021920950906815184],[57.74591632134458],[82.54485497195132]
187,[0.5],[-0.021920950906815184],[58.08927304028841],[82.40561254651908]
188,[0.5],[-0.021920950906815184],[58.432502208715675],[82.37500042254301]
189,[0.5],[-0.021920950906815184],[58.77606958149929],[82.45616946806885]
190,[0.5],[-0.021920950906815184],[59.120401808813234],[82.63973455534564]
191,[0.5],[-0.021920950906815184],[59.46583829660571],[82.9047570701943]
192,[0.5],[-0.021920950906815184],[59.81259165828495],[83.22080680301815]
193,[0.5],[-0.021920950906815184],[60.16072102732254],[83.55104856902032]
194,[0.5],[-0.021920950906815184],[60.51012197835124],[83.85622824688988]
195,[0.5],[-0.021920950906815184],[60.86053561900353],[84.09927375654776]
196,[0.5],[-0.021920950906815184],[61.211577333942515],[84.2500115853563]
197,[0.5],[-0.021920950906815184],[61.562782794198846],[84.28931046151891]
198,[0.5],[-0.021920950906815184],[61.91366573192898],[84.21190505523133]
199,[0.5],[-0.021920950906815184],[62.2637794858649],[84.02730094462183]
200,[0.5],[-0.021920950906815184],[62.61277329648835],[83.75851454962803]
201,[0.5],[-0.021920950906815184],[62.96043520514726],[83.43885807813902]
202,[0.5],[-0.021920950906815184],[63.3067159623492],[83.10738172846594]
203,[0.5],[-0.021920950906815184],[63.65173178225286],[82.8037967768771]
204,[0.5],[-0.021920950906815184],[63.99574710192401],[82.56367672107534]
205,[0.5],[-0.021920950906815184],[64.33914095793433],[82.41452544247886]
206,[0.5],[-0.021920950906815184],[64.68236190311595],[82.37302684358559]
207,[0.5],[-0.021920950906815184],[65.02587673381969],[82.44355936889608]
208,[0.5],[-0.021920950906815184],[65.37011810640088],[82.61792941948669]
209,[0.5],[-0.021920950906815184],[65.71543580018505],[82.87624650819897]
210,[0.5],[-0.021920950906815184],[66.06205614335971],[83.18888236191965]
211,[0.5],[-0.021920950906815184],[66.4100539005973],[83.5194617370207]
212,[0.5],[-0.021920950906815184],[66.75934044414892],[83.8287704523874]
213,[0.5],[-0.021920950906815184],[67.10967092326786],[84.07931498854396]
214,[0.5],[-0.021920950906815184],[67.46067115493126],[84.24005559921902]
215,[0.5],[-0.021920950906815184],[67.81188215001913],[84.29063882108969]
216,[0.5],[-0.021920950906815184],[68.16281706522086],[84.22437964841527]
217,[0.5],[-0.021920950906815184],[68.51302277541375],[84.04937044629206]
218,[0.5],[-0.021920950906815184],[68.86213706406743],[83.78742927688485]
219,[0.5],[-0.021920950906815184],[69.20993311869981],[83.4710531117724]
220,[0.5],[-0.021920950906815184],[69.55634543467713],[83.13895583455484]
221,[0.5],[-0.021920950906815184],[69.9014746207572],[82.83100465921682]
222,[0.5],[-0.021920950906815184],[70.2455719716954],[82.58336422516886]
223,[0.5],[-0.021920950906815184],[70.58900723192886],[82.42446245602946]
224,[0.5],[-0.021920950906815184],[70.93222439375855],[82.3721188391235]
225,[0.5],[-0.021920950906815184],[71.27569079771213],[82.43193694886182]
226,[0.5],[-0.021920950906815184],[71.61984464356689],[82.59692300514388]
227,[0.5],[-0.021920950906815184],[71.96504569832376],[82.84825314164816]
228,[0.5],[-0.021920950906815184],[72.31153373700474],[83.15712928343528]
229,[0.5],[-0.021920950906815184],[72.65939904180944],[83.4876731531269]
230,[0.5],[-0.021920950906815184],[73.00856884951055],[83.80075384826668]
231,[0.5],[-0.021920950906815184],[73.35881260595895],[84.05850154761286]
232,[0.5],[-0.021920950906815184],[73.70976698412561],[84.229050759999]
233,[0.5],[-0.021920950906815184],[74.06097887762478],[84.29085443980019]
234,[0.5],[-0.021920950906815184],[74.41196145508957],[84.23581859155132]
235,[0.5],[-0.021920950906815184],[74.76225567310789],[84.07061232439524]
236,[0.5],[-0.021920950906815184],[75.11148828211307],[83.81582616124388]
237,[0.5],[-0.021920950906815184],[75.45941786183046],[83.50309913217265]
238,[0.5],[-0.021920950906815184],[75.80596269700199],[83.17076044116739]
239,[0.5],[-0.021920950906815184],[76.15120764282142],[82.85878699666429]
240,[0.5],[-0.021920950906815184],[76.49539054409348],[82.60389630529536]
241,[0.5],[-0.021920950906815184],[76.83887143244591],[82.43541320458404]
242,[0.5],[-0.021920950906815184],[77.18208925603041],[82.37227766027912]
243,[0.5],[-0.021920950906815184],[77.52551140123309],[82.42131484864241]
244,[0.5],[-0.021920950906815184],[77.86958114325077],[82.57673808424214]
245,[0.5],[-0.021920950906815184],[78.21466784175833],[82.8208076418129]
246,[0.5],[-0.021920950906815184],[78.56102443753474],[83.1255829863383]
247,[0.5],[-0.021920950906815184],[78.90875660028031],[83.45571905893743]
248,[0.5],[-0.021920950906815184],[79.25780747996407],[83.77221112410353]
249,[0.5],[-0.021920950906815184],[79.60796105612589],[84.03685827883531]
250,[0.5],[-0.021920950906815184],[79.95886526672857],[84.2170105446441]
251,[0.5],[-0.021920950906815184],[80.31007342238178],[84.28995735676898]
252,[0.5],[-0.021920950906815184],[80.66109929048191],[84.24620834403224]
253,[0.5],[-0.021920950906815184],[81.01147846269919],[84.09100133214643]
254,[0.5],[-0.021920950906815184],[81.36082709515566],[83.84367178955185]
255,[0.5],[-0.021920950906815184],[81.70888942468115],[83.53495908611846]
256,[0.5],[-0.021920950906815184],[82.0555675895616],[83.20275957131128]
257,[0.5],[-0.021920950906815184],[82.40093056081976],[82.88711310195642]
258,[0.5],[-0.021920950906815184],[82.74520243924334],[82.625250821659]
259,[0.5],[-0.021920950906815184],[83.08873313175502],[82.44736620280263]
260,[0.5],[-0.021920950906815184],[83.43195606268351],[82.37350342283835]
261,[0.5],[-0.021920950906815184],[83.77533816536086],[82.41170464256429]
262,[0.5],[-0.021920950906815184],[84.11932731755965],[82.55739652771003]
263,[0.5],[-0.021920950906815184],[84.46430206771474],[82.79394003722139]
264,[0.5],[-0.021920950906815184],[84.81052822850623],[83.09427858995795]
265,[0.5],[-0.021920950906815184],[85.15812671102329],[83.4236358040926]
266,[0.5],[-0.021920950906815184],[85.50705660897593],[83.74317550863393]
267,[0.5],[-0.021920950906815184],[85.85711665464702],[84.0144109610614]
268,[0.5],[-0.021920950906815184],[86.20796644486475],[84.20394965225802]
269,[0.5],[-0.021920950906815184],[86.55916623217627],[84.28794895476257]
270,[0.5],[-0.021920950906815184],[86.91023096814433],[84.25553663233464]
271,[0.5],[-0.021920950906815184],[87.26069143992045],[84.1105132262687]
272,[0.5],[-0.021920950906815184],[87.61015366222361],[83.87093335275883]
273,[0.5],[-0.021920950906815184],[87.95834781249107],[83.56659606418997]
274,[0.5],[-0.021920950906815184],[88.30515996643474],[83.23491694648055]
